57036  transactions
creator setV1DigitalMediaStoreAddress  success
creator addApprovedTokenCreator  success
creator unpause  success
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user2 oboCreateDigitalMediaAndReleases 351;5335 success
user2 oboCreateDigitalMediaAndReleases 352;5336 success
user3 approve 352 success
user2 oboCreateDigitalMediaAndReleases 353;5337 success
user2 oboCreateDigitalMediaAndReleases 354;5338 success
user3 approve 354 success
user2 oboCreateDigitalMediaAndReleases 355;5339 success
user3 approve 355 success
user2 oboCreateDigitalMediaAndReleases 356;5340 success
user2 oboCreateDigitalMediaAndReleases 357;5341 success
user3 approve 356 success
user3 approve 357 success
user2 oboCreateDigitalMediaAndReleases 358;5342 success
user3 approve 358 success
user3 approve 357 success
user2 oboCreateDigitalMediaAndReleases 359;5343 success
user2 oboCreateDigitalMediaReleases 360;5293 success
user3 approve 359 success
user2 oboCreateDigitalMediaAndReleases 361;5344 success
user3 approve 361 success
